INFO 2022-08-03 15:15:11,131 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-03 15:15:14,172 basehttp 187 "GET / HTTP/1.1" 200 10633
INFO 2022-08-03 15:15:14,490 basehttp 187 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2022-08-03 15:15:14,560 basehttp 187 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2022-08-03 15:15:14,567 basehttp 187 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
INFO 2022-08-03 15:15:14,569 basehttp 187 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2022-08-03 15:29:20,386 autoreload 266 /home/ubuntu/Desktop/leanr/django/Small_projects/blog/blog/settings.py changed, reloading.
INFO 2022-08-03 15:29:20,628 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-03 15:29:38,998 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-03 15:29:56,021 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-03 15:30:15,938 basehttp 187 "GET / HTTP/1.1" 200 10633
INFO 2022-08-03 15:32:58,269 autoreload 266 /home/ubuntu/Desktop/leanr/django/Small_projects/blog/blog/settings.py changed, reloading.
INFO 2022-08-03 15:32:58,609 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-03 15:34:26,905 basehttp 187 "GET /admin/ HTTP/1.1" 302 0
INFO 2022-08-03 15:34:26,939 basehttp 187 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 2217
INFO 2022-08-03 15:34:27,012 basehttp 187 "GET /static/admin/css/base.css HTTP/1.1" 200 19513
INFO 2022-08-03 15:34:27,012 basehttp 187 "GET /static/admin/css/login.css HTTP/1.1" 200 954
INFO 2022-08-03 15:34:27,013 basehttp 187 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18575
INFO 2022-08-03 15:34:27,013 basehttp 187 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2616
INFO 2022-08-03 15:34:27,022 basehttp 187 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3763
INFO 2022-08-03 15:34:29,996 basehttp 187 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2022-08-03 15:34:30,021 basehttp 187 "GET /admin/ HTTP/1.1" 200 3287
INFO 2022-08-03 15:34:30,051 basehttp 187 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 380
INFO 2022-08-03 15:34:30,110 basehttp 187 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2022-08-03 15:34:30,111 basehttp 187 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2022-08-03 15:35:00,547 autoreload 266 /home/ubuntu/Desktop/leanr/django/Small_projects/blog/post/admin.py changed, reloading.
INFO 2022-08-03 15:35:00,822 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-03 15:35:31,099 autoreload 266 /home/ubuntu/Desktop/leanr/django/Small_projects/blog/post/admin.py changed, reloading.
INFO 2022-08-03 15:35:31,339 autoreload 677 Watching for file changes with StatReloader
